"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Arbeitsmarkt","Erwerbsfähigenquote","männlich","76,2","22899,5","30056,6","","","","Männliche Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","Männliche Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Arbeitsmarkt","Erwerbsfähigenquote","männlich","69,9","12652,8","18089,4","","","","Männliche Einwohner mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","Männliche Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Arbeitsmarkt","Erwerbsfähigenquote","ausländisch","76,3","19413,3","25432,4","","","","Ausländische Einwohner_innen mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","Ausländische Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Arbeitsmarkt","Erwerbsfähigenquote","ausländisch","86,5","3594,5","4155,5","","","","Ausländische Einwohner_innen mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","Ausländische Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Arbeitsmarkt","Erwerbsfähigenquote","ausländisch","82,3","11029,3","13403,4","","","","Ausländische Einwohner_innen mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","Ausländische Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Arbeitsmarkt","Erwerbsfähigenquote","deutsch","72,2","30685,3","42507,3","","","","Deutsche Einwohner_innen mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren ","Deutsche Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Arbeitsmarkt","Erwerbsfähigenquote","gesamt","70,6","70358,3","99629,1","","","","Einwohner_innen mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Arbeitsmarkt","Erwerbsfähigenquote","weiblich","71","20940,8","29500,5","","","","Einwohnerinnen mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","Weibliche Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","12","12 Schwabing - Freimann"
"Arbeitsmarkt","Erwerbsfähigenquote","gesamt","72,3","58917,8","81545","","","","Einwohner_innen mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Arbeitsmarkt","Erwerbsfähigenquote","deutsch","69,4","25311,3","36447,4","","","","Deutsche Einwohner_innen mit Hauptwohnsitz im Alter von 15 bis unter 65 Jahren ","Deutsche Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
