INDIKATOR_GRUPPE,INDIKATOR_BEZEICHNUNG,INDIKATOR_AUSPRAEGUNG,INDIKATOR_WERT,BASISWERT_1,BASISWERT_2,BASISWERT_3,BASISWERT_4,BASISWERT_5,NAME_BASISWERT1,NAME_BASISWERT2,NAME_BASISWERT3,NAME_BASISWERT4,NAME_BASISWERT5,JAHR,GLIEDERUNG,NUMMER,NAME
Wahlen,Wahlbeteiligung,Bundestagswahl,"80,3",673010,837846,,,,Wähler_innen bei der Bundestagswahl,alle Wahlberechtigte,,,,2002,Gesamtstadt,#100,Stadt München
Wahlen,Wahlbeteiligung,Bundestagswahl,"77,0",9880,12831,,,,Wähler_innen bei der Bundestagswahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,8,08 Schwanthalerhöhe
Wahlen,Wahlbeteiligung,Stadtratswahl,"50,3",21178,42106,,,,Wähler_innen bei der Stadtratswahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,4,04 Schwabing - West
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"51,0",461898,905748,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Gesamtstadt,#100,Stadt München
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"56,4",25017,44374,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,21,21 Pasing - Obermenzing
Wahlen,Wahlbeteiligung,Bundestagswahl,"80,0",31357,39205,,,,Wähler_innen bei der Bundestagswahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,12,12 Schwabing - Freimann
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"51,4",18116,35274,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,18,18 Untergiesing - Harlaching
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"55,3",16793,30355,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,20,20 Hadern
Wahlen,Wahlbeteiligung,Stadtratswahl,"53,4",29450,55150,,,,Wähler_innen bei der Stadtratswahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,13,13 Bogenhausen
Wahlen,Wahlbeteiligung,Stadtratswahl,"55,9",18886,33792,,,,Wähler_innen bei der Stadtratswahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,15,15 Trudering - Riem
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"48,2",6841,14200,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,1,01 Altstadt - Lehel
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"55,4",14796,26711,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,22,22 Aubing - Lochhausen - Langwied
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"43,4",6692,15416,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,8,08 Schwanthalerhöhe
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"53,4",29450,55150,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,13,13 Bogenhausen
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"50,4",33753,67003,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,16,16 Ramersdorf - Perlach
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"49,3",12233,24793,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,6,06 Sendling
Wahlen,Wahlbeteiligung,Stadtratswahl,"56,4",25017,44374,,,,Wähler_innen bei der Stadtratswahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,21,21 Pasing - Obermenzing
Wahlen,Wahlbeteiligung,Bundestagswahl,"79,2",27198,34340,,,,Wähler_innen bei der Bundestagswahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,25,25 Laim
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"44,1",17323,39252,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,11,11 Milbertshofen - Am Hart
Wahlen,Wahlbeteiligung,Stadtratswahl,"43,4",6692,15416,,,,Wähler_innen bei der Stadtratswahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,8,08 Schwanthalerhöhe
Wahlen,Wahlbeteiligung,Stadtratswahl,"52,3",31414,60094,,,,Wähler_innen bei der Stadtratswahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,9,09 Neuhausen - Nymphenburg
Wahlen,Wahlbeteiligung,Stadtratswahl,"50,6",16037,31689,,,,Wähler_innen bei der Stadtratswahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,10,10 Moosach
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"50,6",16037,31689,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,10,10 Moosach
Wahlen,Wahlbeteiligung,Oberbürgermeisterwahl,"49,4",17302,35046,,,,Wähler_innen bei der Oberbürgermeisterwahl,alle Wahlberechtigte,,,,2002,Stadtbezirk,24,24 Feldmoching - Hasenbergl
